"time","snowdepth"
"29.09.2015",0
"30.09.2015",0
"01.10.2015",0
"02.10.2015",0
"03.10.2015",0
"04.10.2015",0
"05.10.2015",0
"06.10.2015",0
"07.10.2015",0
"08.10.2015",0
"09.10.2015",0
"10.10.2015",0
"11.10.2015",0
"12.10.2015",0
"13.10.2015",2
"14.10.2015",2
"15.10.2015",1
"16.10.2015",4
"17.10.2015",4
"18.10.2015",4
"19.10.2015",4
"20.10.2015",4
"21.10.2015",2
"22.10.2015",2
"23.10.2015",2
"24.10.2015",3
"25.10.2015",3
"26.10.2015",2
"27.10.2015",4
"28.10.2015",4
"29.10.2015",4
"30.10.2015",2
"31.10.2015",1
"01.11.2015",1
"02.11.2015",0
"03.11.2015",0
"04.11.2015",4
"05.11.2015",7
"06.11.2015",7
"07.11.2015",13
"08.11.2015",12
"09.11.2015",4
"10.11.2015",2
"11.11.2015",2
"12.11.2015",2
"13.11.2015",1
"14.11.2015",1
"15.11.2015",2
"16.11.2015",3
"17.11.2015",3
"18.11.2015",3
"19.11.2015",5
"20.11.2015",3
"21.11.2015",3
"22.11.2015",3
"23.11.2015",4
"24.11.2015",4
"25.11.2015",4
"26.11.2015",4
"27.11.2015",4
"28.11.2015",3
"29.11.2015",2
"30.11.2015",2
"01.12.2015",2
"02.12.2015",3
"03.12.2015",3
"04.12.2015",3
"05.12.2015",4
"06.12.2015",4
"07.12.2015",4
"08.12.2015",4
"09.12.2015",4
"10.12.2015",4
"11.12.2015",5
"12.12.2015",5
"13.12.2015",8
"14.12.2015",8
"15.12.2015",7
"16.12.2015",7
"17.12.2015",6
"18.12.2015",6
"19.12.2015",10
"20.12.2015",8
"21.12.2015",8
"22.12.2015",5
"23.12.2015",3
"24.12.2015",12
"25.12.2015",9
"26.12.2015",9
"27.12.2015",9
"28.12.2015",12
"29.12.2015",14
"30.12.2015",4
"31.12.2015",10
"01.01.2016",10
"02.01.2016",1
"03.01.2016",1
"04.01.2016",1
"05.01.2016",1
"06.01.2016",1
"07.01.2016",0
"08.01.2016",0
"09.01.2016",0
"10.01.2016",0
"11.01.2016",0
"12.01.2016",0
"13.01.2016",0
"14.01.2016",0
"15.01.2016",24
"16.01.2016",9
"17.01.2016",6
"18.01.2016",6
"19.01.2016",6
"20.01.2016",6
"21.01.2016",8
"22.01.2016",8
"23.01.2016",10
"24.01.2016",10
"25.01.2016",8
"26.01.2016",4
"27.01.2016",4
"28.01.2016",4
"29.01.2016",4
"30.01.2016",4
"31.01.2016",4
"01.02.2016",5
"02.02.2016",5
"03.02.2016",5
"04.02.2016",4
"05.02.2016",4
"06.02.2016",4
"07.02.2016",4
"08.02.2016",4
"09.02.2016",4
"10.02.2016",4
"11.02.2016",4
"12.02.2016",5
"13.02.2016",4
"14.02.2016",4
"15.02.2016",4
"16.02.2016",4
"17.02.2016",4
"18.02.2016",4
"19.02.2016",4
"20.02.2016",4
"21.02.2016",3
"22.02.2016",5
"23.02.2016",5
"24.02.2016",5
"25.02.2016",4
"26.02.2016",4
"27.02.2016",4
"28.02.2016",3
"29.02.2016",4
"01.03.2016",4
"02.03.2016",4
"03.03.2016",3
"04.03.2016",3
"05.03.2016",5
"06.03.2016",5
"07.03.2016",5
"08.03.2016",5
"09.03.2016",5
"10.03.2016",5
"11.03.2016",5
"12.03.2016",2
"13.03.2016",5
"14.03.2016",3
"15.03.2016",8
"16.03.2016",6
"17.03.2016",6
"18.03.2016",5
"19.03.2016",5
"20.03.2016",5
"21.03.2016",5
"22.03.2016",9
"23.03.2016",9
"24.03.2016",10
"25.03.2016",10
"26.03.2016",10
"27.03.2016",11
"28.03.2016",11
"29.03.2016",9
"30.03.2016",9
"31.03.2016",9
"01.04.2016",9
"02.04.2016",9
"03.04.2016",9
"04.04.2016",14
"05.04.2016",12
"06.04.2016",11
"07.04.2016",12
"08.04.2016",12
"09.04.2016",12
"10.04.2016",13
"11.04.2016",13
"12.04.2016",13
"13.04.2016",13
"14.04.2016",13
"15.04.2016",13
"16.04.2016",13
"17.04.2016",13
"18.04.2016",12
"19.04.2016",12
"20.04.2016",12
"21.04.2016",12
"22.04.2016",12
"23.04.2016",12
"24.04.2016",12
"25.04.2016",12
"26.04.2016",10
"27.04.2016",10
"28.04.2016",10
"29.04.2016",10
"30.04.2016",10
"01.05.2016",7
"02.05.2016",5
"03.05.2016",5
"05.05.2016",5
"06.05.2016",5
"07.05.2016",5
"08.05.2016",4
"09.05.2016",0
"10.05.2016",0
"11.05.2016",0
"12.05.2016",0
"13.05.2016",0
"14.05.2016",0
"15.05.2016",0
"16.05.2016",0
"17.05.2016",0
"18.05.2016",0
"19.05.2016",0
"20.05.2016",0
"21.05.2016",0
"22.05.2016",0
"23.05.2016",0
"24.05.2016",0
"25.05.2016",0
"26.05.2016",0
"27.05.2016",0
"28.05.2016",0
"29.05.2016",0
"30.05.2016",0
"31.05.2016",0
"01.06.2016",0
"02.06.2016",0
"03.06.2016",0
"04.06.2016",0
"05.06.2016",0
"06.06.2016",0
"07.06.2016",0
"08.06.2016",0
"09.06.2016",0
"10.06.2016",0
"11.06.2016",0
"12.06.2016",0
"13.06.2016",0
"14.06.2016",0
"15.06.2016",0
"16.06.2016",0
"17.06.2016",0
"18.06.2016",0
"19.06.2016",0
"20.06.2016",0
"21.06.2016",0
"22.06.2016",0
"23.06.2016",0
"24.06.2016",0
"25.06.2016",0
"26.06.2016",0
"27.06.2016",0
"28.06.2016",0
"29.06.2016",0
"30.06.2016",0
"01.07.2016",0
"02.07.2016",0
"03.07.2016",0
"04.07.2016",0
"05.07.2016",0
"06.07.2016",0
"07.07.2016",0
"08.07.2016",0
"09.07.2016",0
"10.07.2016",0
"11.07.2016",0
"12.07.2016",0
"13.07.2016",0
"14.07.2016",0
"15.07.2016",0
"16.07.2016",0
"17.07.2016",0
"18.07.2016",0
"19.07.2016",0
"20.07.2016",0
"21.07.2016",0
"22.07.2016",0
"23.07.2016",0
"24.07.2016",0
"25.07.2016",0
"26.07.2016",0
"27.07.2016",0
"28.07.2016",0
"29.07.2016",0
"30.07.2016",0
"31.07.2016",0
"01.08.2016",0
"02.08.2016",0
"03.08.2016",0
"04.08.2016",0
"05.08.2016",0
"06.08.2016",0
"07.08.2016",0
"08.08.2016",0
"09.08.2016",0
"10.08.2016",0
"11.08.2016",0
"12.08.2016",0
"13.08.2016",0
"14.08.2016",0
"15.08.2016",0
"16.08.2016",0
"17.08.2016",0
"18.08.2016",0
"19.08.2016",0
"20.08.2016",0
"21.08.2016",0
"22.08.2016",0
"23.08.2016",0
"24.08.2016",0
"25.08.2016",0
"26.08.2016",0
"27.08.2016",0
"28.08.2016",0
"29.08.2016",0
"30.08.2016",0
"31.08.2016",0
"01.09.2016",0
"02.09.2016",0
"03.09.2016",0
"04.09.2016",0
"05.09.2016",0
"06.09.2016",0
"07.09.2016",0
"08.09.2016",0
"09.09.2016",0
"10.09.2016",0
"11.09.2016",0
"12.09.2016",0
"13.09.2016",0
"14.09.2016",0
"15.09.2016",0
"16.09.2016",0
"17.09.2016",0
"18.09.2016",0
"19.09.2016",0
"20.09.2016",0
"21.09.2016",0
"22.09.2016",0
"23.09.2016",0
"24.09.2016",0
"25.09.2016",0
"26.09.2016",0
"27.09.2016",0
"28.09.2016",0
"29.09.2016",0
"30.09.2016",0
"01.10.2016",0
"02.10.2016",0
"03.10.2016",0
"04.10.2016",1
"05.10.2016",0
"06.10.2016",0
"07.10.2016",0
"08.10.2016",0
"09.10.2016",0
"10.10.2016",0
"11.10.2016",0
"12.10.2016",0
"13.10.2016",0
"14.10.2016",0
"15.10.2016",0
"16.10.2016",0
"17.10.2016",0
"18.10.2016",0
"19.10.2016",0
"20.10.2016",0
"21.10.2016",0
"22.10.2016",0
"23.10.2016",0
"24.10.2016",0
"25.10.2016",0
"26.10.2016",0
"27.10.2016",0
"28.10.2016",0
"29.10.2016",0
"30.10.2016",0
"31.10.2016",0
"01.11.2016",0
"02.11.2016",0
"03.11.2016",0
"04.11.2016",0
"05.11.2016",0
"06.11.2016",0
"07.11.2016",0
